Date,Price,Open,High,Low,Vol.,Change %
05/18/2017,262.18,261.75,263.47,259.89,,0.39%
05/17/2017,261.17,260.54,262.39,260.0,,0.25%
05/16/2017,260.53,262.56,263.02,260.48,,-0.80%
05/15/2017,262.63,261.65,263.11,261.32,,0.36%
05/12/2017,261.68,260.55,262.18,260.43,,0.51%
05/11/2017,260.35,259.48,260.36,258.32,,0.01%
05/10/2017,260.33,260.02,260.93,258.99,,0.16%
05/09/2017,259.91,261.71,261.93,259.6,,-0.87%
05/08/2017,262.2,262.37,262.6,260.77,,-0.06%
05/05/2017,262.36,261.58,263.22,261.58,,0.56%
05/04/2017,260.9,259.23,261.1,259.13,,0.41%
05/03/2017,259.83,261.01,261.14,259.73,,-0.49%
05/02/2017,261.11,261.17,261.91,259.89,,0.25%
05/01/2017,260.45,262.49,262.51,259.96,,-0.65%
04/28/2017,262.16,263.16,263.39,261.4,,-0.44%
04/27/2017,263.33,262.52,264.7,262.52,,0.30%
